genome	Clade1	Clade2	Subclade	Subgroup	Order	Family	Genus	Species	reference	type_strain_Freel_2024	type	depth_cat	latitude_cat
HTCC1002	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	JGI/IMG	NA	isolate	NA	NA
HTCC1013	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Rappe et al., (2002)	NA	isolate	o-100m	North Temperate
HTCC1062	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	ubiquis	Rappe et al., (2002)	TRUE	isolate	o-100m	North Temperate
HTCC1040	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Rappe et al., (2002)	NA	isolate	o-100m	North Temperate
NP1	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	giovannonii	Morris et al., (2020)	TRUE	isolate	o-100m	North Temperate
Uisw_137	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
RIS-SAG-41	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Martinez-Perez et al., (2022)	NA	SAG	NA	Antarctic
Uisw_101	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_104	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_106	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_094	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_136	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_113	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_116	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
Uisw_121	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	o-100m	Arctic
