genome	Clade1	Clade2	Subclade	Subgroup	Order	Family	Genus	Species	reference	type_strain_Freel_2024	type	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source
HTCC1002	I	Ia	Ia.1	Ia1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Rappe et al., (2002)	NA	isolate	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	Oregon coastal Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL
HIMB122	I	Ia	Ia.3	Ia3.VI	Pelagibacterales	Pelagibacteraceae	Proprepelagibacter	NA	Brandon (2006)	NA	isolate	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Brandon (2006); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean
ETNP2013_S02_SV82_300m_MAG_01	II	Iia	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	denitrificans	Ruiz-Perez et al., (2021)	TRUE	MAG	>200m	northern_tropical	PNEC	Trades - N. Pacific Equatorial Countercurrent Province	marine	North Pacific Ocean	Ruiz-Perez et al., (2021); coordinate in table; Longhurst PNEC; inferred waterbody North Pacific Ocean
HTCC1016	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	JGI/IMG	NA	isolate	NA	NA	NA	NA	marine	Oregon coastal Pacific Ocean	Oregon Coast isolate; NCBI BioProject PRJNA165601; JGI Project 400409; JGI/IMG entry lacks coordinates
HTCC1013	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Rappe et al., (2002)	NA	isolate	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean
HTCC1062	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	ubiqueversans	Rappe et al., (2002)	TRUE	isolate	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean
HTCC1040	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Rappe et al., (2002)	NA	isolate	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Rappe et al., (2002); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean
NP1	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	giovannonii	Morris et al., (2020)	TRUE	isolate	0-100m	northern_temperate	CCAL	Coastal - California Upwelling Coastal Province	marine	North Pacific Ocean	Morris et al., (2020); coordinate in table; Longhurst CCAL; inferred waterbody North Pacific Ocean
Uisw_137	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
RIS-SAG-41	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Martinez-Perez et al., (2022)	NA	SAG	NA	southern_polar	APLR	Polar - Austral Polar Province	marine	Southern Ocean	Martinez-Perez et al., (2022); coordinate in table; Longhurst APLR; inferred waterbody Southern Ocean
Uisw_101	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_104	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_106	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_094	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_136	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_113	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_116	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_121	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_114	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_130	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_092	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
Uisw_090	I	Ia	Ia.1	Ia.1.I	Pelagibacterales	Pelagibacteraceae	Pelagibacter	NA	Sadler et al., (2025)	NA	isolate	0-100m	northern_polar	BPLR	Polar - Boreal Polar Province (POLR)	marine	Arctic Ocean near Svalbard	Sadler et al., (2025); coordinate in table; Longhurst BPLR; inferred waterbody Arctic Ocean near Svalbard
