id	cog	cog_name	ko	ko_name	pfams	pfam_names
OG0000000	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	NA	No Annotation	PF13561.9,PF00106.28,PF01575.22,PF01370.24	adh_short_C2,adh_short,MaoC_dehydratas,Epimerase
OG0000001	COG0451	Nucleoside-diphosphate-sugar epimerase	NA	No Annotation	PF01370.24,PF16363.8,PF04321.20,PF00571.31,PF00106.28,PF00444.21,PF01073.22,PF02543.18,PF02719.18	Epimerase,GDP_Man_Dehyd,RmlD_sub_bind,CBS,adh_short,Ribosomal_L36,3Beta_HSD,Carbam_trans_N,Polysacc_synt_2
OG0000002	COG0463	Glycosyltransferase involved in cell wall bisynthesis	NA	No Annotation	PF00535.29,PF03808.16,PF13489.9,PF02348.22,PF01370.24,PF01933.21,PF00483.26,PF00534.23,PF02698.20,PF02709.17,PF13632.9	Glycos_transf_2,Glyco_tran_WecG,Methyltransf_23,CTP_transf_3,Epimerase,CofD,NTP_transferase,Glycos_transf_1,DUF218,Glyco_transf_7C,Glyco_trans_2_3
OG0000003	COG1136	ABC-type lipoprotein targeting system ATPase component LolD	NA	No Annotation	PF00005.30,PF00664.26	ABC_tran,ABC_membrane
OG0000004	COG4664	TRAP-type mannitol/chloroaromatic compound transport system, large permease component	K11690	C4-dicarboxylate transporter, DctM subunit	PF06808.15,PF04290.15	DctM,DctQ
OG0000005	COG0697	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	K15270	S-adenosylmethionine uptake transporter	PF00892.23	EamA
OG0000006	COG0404	Glycine cleavage system protein T (aminomethyltransferase)	NA	No Annotation	PF01571.24,PF08669.14,PF12697.10	GCV_T,GCV_T_C,Abhydrolase_6
OG0000007	COG4160	ABC-type arginine/histidine transport system, permease component	K02029	polar amino acid transport system permease protein	PF00528.25	BPD_transp_1
OG0000008	NA	No Annotation	NA	No Annotation	PF05050.15,PF02475.19,PF02390.20,PF02649.17	Methyltransf_21,Met_10,Methyltransf_4,GCHY-1
OG0000009	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component	NA	No Annotation	PF03480.16	DctP
OG0000010	COG3839	ABC-type sugar transport system, ATPase component MalK	NA	No Annotation	PF00005.30,PF08402.13,PF17912.4	ABC_tran,TOBE_2,OB_MalK
OG0000011	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase	NA	No Annotation	PF01041.20,PF04321.20,PF00571.31,PF00266.22,PF00551.22,PF00583.28,PF00908.20,PF18216.4	DegT_DnrJ_EryC1,RmlD_sub_bind,CBS,Aminotran_5,Formyl_trans_N,Acetyltransf_1,dTDP_sugar_isom,N_formyltrans_C
OG0000012	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	NA	No Annotation	PF02826.22,PF00389.33,PF01842.28,PF19304.2,PF02348.22	2-Hacid_dh_C,2-Hacid_dh,ACT,PGDH_inter,CTP_transf_3
OG0000013	COG0404	Glycine cleavage system protein T (aminomethyltransferase)	K00315	dimethylglycine dehydrogenase [EC:1.5.8.4]	PF01571.24,PF08669.14,PF16350.8,PF01266.27	GCV_T,GCV_T_C,FAO_M,DAO
OG0000014	COG0436	Aspartate/methionine/tyrosine aminotransferase	NA	No Annotation	PF00155.24	Aminotran_1_2
