og_id	cog	cog_name	ko	ko_name	pfams	pfam_names	n_genes	n_genomes	prevalence	cog_support	cog_coverage	top_cog_rate	cog_gene	cog_letter	cog_category	ko_support	ko_coverage	top_ko_rate	pfam_coverage	n_pfam_types
OG0000000	COG4175	ABC-type proline/glycine betaine transport system, ATPase component	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	PF00005.30,PF00664.26,PF00571.31	ABC_tran,ABC_membrane,CBS	1797	536	0.988929889298893	850	0.9994435169727324	0.4730105731775181	ProV	E	Amino acid transport and metabolism	839	0.6800222593210907	0.46688925987757374	0.9972175848636616	3
OG0000001	COG3839	ABC-type sugar transport system, ATPase component MalK	K10831	taurine transport system ATP-binding protein [EC:7.6.2.7]	PF00005.30,PF17912.4,PF08402.13	ABC_tran,OB_MalK,TOBE_2	1548	498	0.9188191881918819	1096	0.9987080103359173	0.7080103359173127	MalK	G	Carbohydrate transport and metabolism	414	0.7241602067183462	0.26744186046511625	0.9948320413436692	3
OG0000002	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	K02053	putative spermidine/putrescine transport system permease protein	PF00528.25	BPD_transp_1	1520	507	0.9354243542435424	1037	1	0.6822368421052631	UgpE	G	Carbohydrate transport and metabolism	438	0.5953947368421053	0.2881578947368421	0.9967105263157895	1
OG0000003	COG0697	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	K15270	S-adenosylmethionine uptake transporter	PF00892.23	EamA	1224	480	0.8856088560885609	1222	0.9983660130718954	0.9983660130718954	EamA	E	Amino acid transport and metabolism	1213	0.9910130718954249	0.9910130718954249	0.9967320261437909	1
OG0000004	COG0665	Glycine/D-amino acid oxidase (deaminating)	K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	PF01266.27	DAO	1180	481	0.8874538745387454	1177	0.997457627118644	0.997457627118644	DadA	E	Amino acid transport and metabolism	441	0.6720338983050848	0.373728813559322	0.9957627118644068	1
OG0000005	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	PF03446.18,PF14833.9,PF00393.22,PF12766.10	NAD_binding_2,NAD_binding_11,6PGD,Pyridox_oxase_2	1174	529	0.9760147601476015	1167	0.9965928449744463	0.9940374787052811	MmsB	I	Lipid transport and metabolism	1011	0.9872231686541738	0.8611584327086882	0.995741056218058	4
OG0000006	COG4968	Type IV pilus minor pilin/pseudopilin PilE	K02650	type IV pilus assembly protein PilA	PF07963.15,PF16732.8,PF08334.14	N_methyl,ComP_DUS,T2SSG	1150	266	0.4907749077490775	670	0.9469565217391305	0.5826086956521739	PilE	N	Cell motility	76	0.06782608695652174	0.06608695652173913	0.9521739130434783	3
OG0000007	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	K03331	L-xylulose reductase [EC:1.1.1.10]	PF13561.9,PF00106.28,PF01575.22,PF01370.24	adh_short_C2,adh_short,MaoC_dehydratas,Epimerase	1138	521	0.9612546125461254	1041	0.9938488576449912	0.9147627416520211	FabG	I	Lipid transport and metabolism	438	0.40421792618629176	0.38488576449912126	0.992091388400703	4
OG0000008	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	PF08241.15,PF13489.9,PF13847.9,PF13649.9,PF08242.15,PF13414.9,PF08484.14,PF05175.17,PF07719.20,PF08003.14,PF13181.9,PF13374.9	Methyltransf_11,Methyltransf_23,Methyltransf_31,Methyltransf_25,Methyltransf_12,TPR_11,Methyltransf_14,MTS,TPR_2,Methyltransf_9,TPR_8,TPR_10	1109	517	0.9538745387453874	951	0.9774571686203787	0.8575293056807936	UbiG	H	Coenzyme transport and metabolism	244	0.22633002705139765	0.2200180342651037	0.9621280432822362	12
OG0000009	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	K00344	NADPH:quinone reductase [EC:1.6.5.5]	PF00107.29,PF08240.15,PF16884.8,PF13602.9,PF16912.8,PF01488.23	ADH_zinc_N,ADH_N,ADH_N_2,ADH_zinc_N_2,Glu_dehyd_C,Shikimate_DH	1053	529	0.9760147601476015	555	0.9990503323836657	0.5270655270655271	Qor	C	Energy production and conversion	525	0.674264007597341	0.4985754985754986	0.9914529914529915	6
